time,time,EngineRPM,OutletTemperature,HighPressure,LowPressure,FlowRate
2018-11-07 16:33:42.831,2018-11-07 16:33:42.831,0.0,0.0,0.0,0.0,
2018-11-07 16:33:42.833,2018-11-07 16:33:42.833,,,,,0.0
2018-11-07 16:33:43.432,2018-11-07 16:33:43.432,,,,,0.0
2018-11-07 16:33:43.932,2018-11-07 16:33:43.932,,,,,0.0
2018-11-07 16:33:44.442,2018-11-07 16:33:44.442,,,,,0.0
2018-11-07 16:33:45.032,2018-11-07 16:33:45.032,,,,,0.0
2018-11-07 16:33:45.631,2018-11-07 16:33:45.631,,,,,0.0
2018-11-07 16:33:46.232,2018-11-07 16:33:46.232,,,,,0.0
2018-11-07 16:33:46.831,2018-11-07 16:33:46.831,,,,,0.0
2018-11-07 16:33:47.332,2018-11-07 16:33:47.332,,,,,0.0
2018-11-07 16:33:47.931,2018-11-07 16:33:47.931,,,,,0.0
2018-11-07 16:33:48.432,2018-11-07 16:33:48.432,,,,,0.0
2018-11-07 16:33:49.031,2018-11-07 16:33:49.031,,,,,0.0
2018-11-07 16:33:49.531,2018-11-07 16:33:49.531,,,,,0.0
2018-11-07 16:33:50.131,2018-11-07 16:33:50.131,,,,,0.0
2018-11-07 16:33:50.631,2018-11-07 16:33:50.631,,,,,0.0
2018-11-07 16:33:51.231,2018-11-07 16:33:51.231,,,,,0.0
2018-11-07 16:33:51.832,2018-11-07 16:33:51.832,,,,,0.0
2018-11-07 16:33:52.431,2018-11-07 16:33:52.431,,,,,0.0
2018-11-07 16:33:53.031,2018-11-07 16:33:53.031,,,,,0.0
2018-11-07 16:33:53.531,2018-11-07 16:33:53.531,,,,,0.0
2018-11-07 16:33:54.131,2018-11-07 16:33:54.131,,,,,0.0
2018-11-07 16:33:54.731,2018-11-07 16:33:54.731,,,,,0.0
2018-11-07 16:33:55.231,2018-11-07 16:33:55.231,,,,,0.0
2018-11-07 16:33:55.731,2018-11-07 16:33:55.731,,,,,0.0
2018-11-07 16:33:56.331,2018-11-07 16:33:56.331,,,,,0.0
2018-11-07 16:33:56.931,2018-11-07 16:33:56.931,,,,,0.0
2018-11-07 16:33:57.531,2018-11-07 16:33:57.531,,,,,0.0
2018-11-07 16:33:58.131,2018-11-07 16:33:58.131,,,,,0.0
2018-11-07 16:33:58.631,2018-11-07 16:33:58.631,,,,,0.0
2018-11-07 16:33:59.132,2018-11-07 16:33:59.132,,,,,0.0
2018-11-07 16:33:59.731,2018-11-07 16:33:59.731,,,,,0.0
2018-11-07 16:34:00.331,2018-11-07 16:34:00.331,,,,,0.0
2018-11-07 16:34:00.931,2018-11-07 16:34:00.931,,,,,0.0
2018-11-07 16:34:01.431,2018-11-07 16:34:01.431,,,,,0.0
2018-11-07 16:34:02.031,2018-11-07 16:34:02.031,,,,,0.0
2018-11-07 16:34:02.532,2018-11-07 16:34:02.532,,,,,0.0
2018-11-07 16:34:03.131,2018-11-07 16:34:03.131,,,,,0.0
2018-11-07 16:34:03.631,2018-11-07 16:34:03.631,,,,,0.0
2018-11-07 16:34:04.134,2018-11-07 16:34:04.134,,,,,0.0
2018-11-07 16:34:04.731,2018-11-07 16:34:04.731,,,,,0.0
2018-11-07 16:34:05.231,2018-11-07 16:34:05.231,,,,,3.1
2018-11-07 16:34:05.831,2018-11-07 16:34:05.831,,,,,3.1
2018-11-07 16:34:06.431,2018-11-07 16:34:06.431,,,,,3.1
2018-11-07 16:34:07.031,2018-11-07 16:34:07.031,,,,,3.1
2018-11-07 16:34:07.531,2018-11-07 16:34:07.531,,,,,3.1
2018-11-07 16:34:08.131,2018-11-07 16:34:08.131,,,,,3.1
2018-11-07 16:34:08.731,2018-11-07 16:34:08.731,,,,,3.1
2018-11-07 16:34:09.231,2018-11-07 16:34:09.231,,,,,3.1
2018-11-07 16:34:09.831,2018-11-07 16:34:09.831,,,,,3.1
2018-11-07 16:34:10.331,2018-11-07 16:34:10.331,,,,,3.1
2018-11-07 16:34:10.831,2018-11-07 16:34:10.831,,,,,3.1
2018-11-07 16:34:11.431,2018-11-07 16:34:11.431,,,,,3.1
2018-11-07 16:34:11.931,2018-11-07 16:34:11.931,,,,,3.1
2018-11-07 16:34:12.532,2018-11-07 16:34:12.532,,,,,3.1
2018-11-07 16:34:13.131,2018-11-07 16:34:13.131,,,,,3.1
2018-11-07 16:34:13.631,2018-11-07 16:34:13.631,,,,,3.1
2018-11-07 16:34:14.131,2018-11-07 16:34:14.131,,,,,3.1
2018-11-07 16:34:14.731,2018-11-07 16:34:14.731,,,,,3.1
2018-11-07 16:34:15.331,2018-11-07 16:34:15.331,,,,,3.1
2018-11-07 16:34:15.831,2018-11-07 16:34:15.831,,,,,3.1
2018-11-07 16:34:16.431,2018-11-07 16:34:16.431,,,,,3.1
2018-11-07 16:34:17.032,2018-11-07 16:34:17.032,,,,,3.1
2018-11-07 16:34:17.632,2018-11-07 16:34:17.632,,,,,3.1
2018-11-07 16:34:18.231,2018-11-07 16:34:18.231,,,,,3.1
2018-11-07 16:34:18.732,2018-11-07 16:34:18.732,,,,,3.1
2018-11-07 16:34:19.331,2018-11-07 16:34:19.331,,,,,3.1
2018-11-07 16:34:19.833,2018-11-07 16:34:19.833,,,,,3.1
2018-11-07 16:34:20.431,2018-11-07 16:34:20.431,,,,,3.1
2018-11-07 16:34:20.932,2018-11-07 16:34:20.932,,,,,3.1
2018-11-07 16:34:21.531,2018-11-07 16:34:21.531,,,,,3.1
2018-11-07 16:34:22.131,2018-11-07 16:34:22.131,,,,,3.1
2018-11-07 16:34:22.631,2018-11-07 16:34:22.631,,,,,3.1
2018-11-07 16:34:23.231,2018-11-07 16:34:23.231,,,,,3.1
2018-11-07 16:34:23.732,2018-11-07 16:34:23.732,,,,,3.1
2018-11-07 16:34:24.331,2018-11-07 16:34:24.331,,,,,3.1
2018-11-07 16:34:24.931,2018-11-07 16:34:24.931,,,,,3.1
2018-11-07 16:34:25.531,2018-11-07 16:34:25.531,,,,,3.1
2018-11-07 16:34:26.131,2018-11-07 16:34:26.131,,,,,3.1
2018-11-07 16:34:26.731,2018-11-07 16:34:26.731,,,,,3.1
2018-11-07 16:34:27.331,2018-11-07 16:34:27.331,,,,,3.1
2018-11-07 16:34:27.831,2018-11-07 16:34:27.831,,,,,3.1
2018-11-07 16:34:28.331,2018-11-07 16:34:28.331,,,,,3.1
2018-11-07 16:34:28.931,2018-11-07 16:34:28.931,,,,,3.1
2018-11-07 16:34:29.531,2018-11-07 16:34:29.531,,,,,3.1
2018-11-07 16:34:30.131,2018-11-07 16:34:30.131,,,,,3.1
2018-11-07 16:34:30.632,2018-11-07 16:34:30.632,,,,,3.1
2018-11-07 16:34:31.231,2018-11-07 16:34:31.231,,,,,3.1
2018-11-07 16:34:31.731,2018-11-07 16:34:31.731,,,,,3.1
2018-11-07 16:34:32.231,2018-11-07 16:34:32.231,,,,,3.1
2018-11-07 16:34:32.832,2018-11-07 16:34:32.832,,,,,3.1
2018-11-07 16:34:33.431,2018-11-07 16:34:33.431,,,,,3.1
2018-11-07 16:34:33.931,2018-11-07 16:34:33.931,,,,,3.1
2018-11-07 16:34:34.531,2018-11-07 16:34:34.531,,,,,3.1
2018-11-07 16:34:35.131,2018-11-07 16:34:35.131,,,,,3.1
2018-11-07 16:34:35.633,2018-11-07 16:34:35.633,,,,,3.1
2018-11-07 16:34:36.231,2018-11-07 16:34:36.231,,,,,3.1
2018-11-07 16:34:36.732,2018-11-07 16:34:36.732,,,,,3.1
2018-11-07 16:34:37.331,2018-11-07 16:34:37.331,,,,,3.1
2018-11-07 16:34:37.831,2018-11-07 16:34:37.831,,,,,3.1
2018-11-07 16:34:38.332,2018-11-07 16:34:38.332,,,,,3.1
2018-11-07 16:34:38.931,2018-11-07 16:34:38.931,,,,,3.1
2018-11-07 16:34:39.432,2018-11-07 16:34:39.432,,,,,3.1
2018-11-07 16:34:40.031,2018-11-07 16:34:40.031,,,,,3.1
2018-11-07 16:34:40.631,2018-11-07 16:34:40.631,,,,,3.1
2018-11-07 16:34:41.131,2018-11-07 16:34:41.131,,,,,3.1
2018-11-07 16:34:41.731,2018-11-07 16:34:41.731,,,,,3.1
2018-11-07 16:34:42.231,2018-11-07 16:34:42.231,,,,,3.1
2018-11-07 16:34:42.831,2018-11-07 16:34:42.831,,,,,3.1
2018-11-07 16:34:43.431,2018-11-07 16:34:43.431,,,,,3.1
2018-11-07 16:34:44.031,2018-11-07 16:34:44.031,,,,,3.1
2018-11-07 16:34:44.531,2018-11-07 16:34:44.531,,,,,3.1
2018-11-07 16:34:45.131,2018-11-07 16:34:45.131,,,,,3.1
2018-11-07 16:34:45.731,2018-11-07 16:34:45.731,,,,,3.1
2018-11-07 16:34:46.331,2018-11-07 16:34:46.331,,,,,3.1
2018-11-07 16:34:46.831,2018-11-07 16:34:46.831,,,,,3.1
2018-11-07 16:34:47.431,2018-11-07 16:34:47.431,,,,,3.1
2018-11-07 16:34:48.031,2018-11-07 16:34:48.031,,,,,3.1
2018-11-07 16:34:48.531,2018-11-07 16:34:48.531,,,,,3.1
2018-11-07 16:34:49.131,2018-11-07 16:34:49.131,,,,,3.1
2018-11-07 16:34:49.631,2018-11-07 16:34:49.631,,,,,3.1
2018-11-07 16:34:50.231,2018-11-07 16:34:50.231,,,,,3.1
2018-11-07 16:34:50.831,2018-11-07 16:34:50.831,,,,,3.1
2018-11-07 16:34:51.331,2018-11-07 16:34:51.331,,,,,3.1
2018-11-07 16:34:51.931,2018-11-07 16:34:51.931,,,,,3.1
2018-11-07 16:34:52.431,2018-11-07 16:34:52.431,,,,,3.1
2018-11-07 16:34:53.031,2018-11-07 16:34:53.031,,,,,3.1
2018-11-07 16:34:53.531,2018-11-07 16:34:53.531,,,,,3.1
2018-11-07 16:34:54.131,2018-11-07 16:34:54.131,,,,,3.1
2018-11-07 16:34:54.731,2018-11-07 16:34:54.731,,,,,3.1
2018-11-07 16:34:55.231,2018-11-07 16:34:55.231,,,,,3.1
2018-11-07 16:34:55.731,2018-11-07 16:34:55.731,,,,,3.1
2018-11-07 16:34:56.331,2018-11-07 16:34:56.331,,,,,3.1
2018-11-07 16:34:56.931,2018-11-07 16:34:56.931,,,,,3.1
2018-11-07 16:34:57.531,2018-11-07 16:34:57.531,,,,,3.1
2018-11-07 16:34:58.131,2018-11-07 16:34:58.131,,,,,3.1
2018-11-07 16:34:58.731,2018-11-07 16:34:58.731,,,,,3.1
2018-11-07 16:34:59.331,2018-11-07 16:34:59.331,,,,,3.1
2018-11-07 16:34:59.931,2018-11-07 16:34:59.931,,,,,3.1
2018-11-07 16:35:00.432,2018-11-07 16:35:00.432,,,,,3.1
2018-11-07 16:35:01.032,2018-11-07 16:35:01.032,,,,,3.1
2018-11-07 16:35:01.631,2018-11-07 16:35:01.631,,,,,3.1
2018-11-07 16:35:02.231,2018-11-07 16:35:02.231,,,,,3.1
2018-11-07 16:35:02.831,2018-11-07 16:35:02.831,,,,,3.1
2018-11-07 16:35:03.431,2018-11-07 16:35:03.431,,,,,3.1
2018-11-07 16:35:04.031,2018-11-07 16:35:04.031,,,,,3.1
2018-11-07 16:35:04.531,2018-11-07 16:35:04.531,,,,,3.1
2018-11-07 16:35:05.131,2018-11-07 16:35:05.131,,,,,3.1
2018-11-07 16:35:05.731,2018-11-07 16:35:05.731,,,,,3.1
2018-11-07 16:35:06.331,2018-11-07 16:35:06.331,,,,,3.1
2018-11-07 16:35:06.831,2018-11-07 16:35:06.831,,,,,3.1
2018-11-07 16:35:07.431,2018-11-07 16:35:07.431,,,,,3.1
2018-11-07 16:35:08.031,2018-11-07 16:35:08.031,,,,,3.1
2018-11-07 16:35:08.531,2018-11-07 16:35:08.531,,,,,3.1
2018-11-07 16:35:09.131,2018-11-07 16:35:09.131,,,,,3.1
2018-11-07 16:35:09.731,2018-11-07 16:35:09.731,,,,,3.1
2018-11-07 16:35:10.331,2018-11-07 16:35:10.331,,,,,3.1
2018-11-07 16:35:10.931,2018-11-07 16:35:10.931,,,,,3.1
2018-11-07 16:35:11.431,2018-11-07 16:35:11.431,,,,,3.1
2018-11-07 16:35:11.931,2018-11-07 16:35:11.931,,,,,3.1
2018-11-07 16:35:12.531,2018-11-07 16:35:12.531,,,,,3.1
2018-11-07 16:35:13.131,2018-11-07 16:35:13.131,,,,,3.1
2018-11-07 16:35:13.731,2018-11-07 16:35:13.731,,,,,3.1
2018-11-07 16:35:14.331,2018-11-07 16:35:14.331,,,,,3.1
2018-11-07 16:35:14.931,2018-11-07 16:35:14.931,,,,,3.1
2018-11-07 16:35:15.431,2018-11-07 16:35:15.431,,,,,3.1
2018-11-07 16:35:16.031,2018-11-07 16:35:16.031,,,,,3.1
2018-11-07 16:35:16.531,2018-11-07 16:35:16.531,,,,,3.1
2018-11-07 16:35:17.131,2018-11-07 16:35:17.131,,,,,3.1
2018-11-07 16:35:17.631,2018-11-07 16:35:17.631,,,,,3.1
2018-11-07 16:35:18.231,2018-11-07 16:35:18.231,,,,,3.1
2018-11-07 16:35:18.731,2018-11-07 16:35:18.731,,,,,3.1
2018-11-07 16:35:19.331,2018-11-07 16:35:19.331,,,,,3.1
2018-11-07 16:35:19.931,2018-11-07 16:35:19.931,,,,,3.1
2018-11-07 16:35:20.431,2018-11-07 16:35:20.431,,,,,3.1
2018-11-07 16:35:21.031,2018-11-07 16:35:21.031,,,,,3.1
2018-11-07 16:35:21.531,2018-11-07 16:35:21.531,,,,,3.1
2018-11-07 16:35:22.031,2018-11-07 16:35:22.031,,,,,3.1
2018-11-07 16:35:22.631,2018-11-07 16:35:22.631,,,,,3.1
2018-11-07 16:35:23.131,2018-11-07 16:35:23.131,,,,,3.1
2018-11-07 16:35:23.631,2018-11-07 16:35:23.631,,,,,3.1
2018-11-07 16:35:24.231,2018-11-07 16:35:24.231,,,,,3.1
2018-11-07 16:35:24.831,2018-11-07 16:35:24.831,,,,,3.1
2018-11-07 16:35:25.331,2018-11-07 16:35:25.331,,,,,3.1
2018-11-07 16:35:25.931,2018-11-07 16:35:25.931,,,,,3.1
2018-11-07 16:35:26.431,2018-11-07 16:35:26.431,,,,,3.1
2018-11-07 16:35:27.031,2018-11-07 16:35:27.031,,,,,3.1
2018-11-07 16:35:27.531,2018-11-07 16:35:27.531,,,,,3.1
2018-11-07 16:35:28.131,2018-11-07 16:35:28.131,,,,,3.1
2018-11-07 16:35:28.631,2018-11-07 16:35:28.631,,,,,3.1
2018-11-07 16:35:29.131,2018-11-07 16:35:29.131,,,,,3.1
2018-11-07 16:35:29.631,2018-11-07 16:35:29.631,,,,,3.1
2018-11-07 16:35:30.131,2018-11-07 16:35:30.131,,,,,3.1
2018-11-07 16:35:30.731,2018-11-07 16:35:30.731,,,,,3.1
2018-11-07 16:35:31.231,2018-11-07 16:35:31.231,,,,,3.1
2018-11-07 16:35:31.831,2018-11-07 16:35:31.831,,,,,3.1
2018-11-07 16:35:32.431,2018-11-07 16:35:32.431,,,,,3.1
2018-11-07 16:35:33.031,2018-11-07 16:35:33.031,,,,,3.1
2018-11-07 16:35:33.531,2018-11-07 16:35:33.531,,,,,3.1
2018-11-07 16:35:34.131,2018-11-07 16:35:34.131,,,,,3.1
2018-11-07 16:35:34.731,2018-11-07 16:35:34.731,,,,,3.1
2018-11-07 16:35:35.331,2018-11-07 16:35:35.331,,,,,3.1
2018-11-07 16:35:35.831,2018-11-07 16:35:35.831,,,,,3.1
2018-11-07 16:35:36.331,2018-11-07 16:35:36.331,,,,,3.1
2018-11-07 16:35:36.931,2018-11-07 16:35:36.931,,,,,3.1
2018-11-07 16:35:37.431,2018-11-07 16:35:37.431,,,,,3.1
2018-11-07 16:35:38.032,2018-11-07 16:35:38.032,,,,,3.1
2018-11-07 16:35:38.631,2018-11-07 16:35:38.631,,,,,3.1
2018-11-07 16:35:39.231,2018-11-07 16:35:39.231,,,,,3.1
2018-11-07 16:35:39.831,2018-11-07 16:35:39.831,,,,,3.1
2018-11-07 16:35:40.431,2018-11-07 16:35:40.431,,,,,3.1
